Artist;Track;Danceability;Energy;Duration_min;Views;Likes
Linkin Park;BURN IT DOWN;585.0;972.0;3.83755;3.53135986E8;2534190.0
Radiohead;Creep;515.0;0.43;3.977333333333333;7.63497849E8;4777393.0
Radiohead;No Surprises;255.0;393.0;3.8186666666666667;1.67847274E8;1274934.0
Radiohead;Karma Police;0.36;501.0;4.401116666666667;8.9246405E7;593396.0
Radiohead;High and Dry;419.0;383.0;4.291333333333333;80290.0;2133.0
Radiohead;Exit Music (For A Film);293.0;276.0;4.453116666666666;1.0644157E7;171322.0
Radiohead;Weird Fishes/ Arpeggi;531.0;0.61;5.303116666666667;1.5335499E7;125774.0
Radiohead;Jigsaw Falling Into Place;462.0;832.0;4.148216666666666;2.639873E7;180969.0
Radiohead;Fake Plastic Trees;463.0;229.0;4.845116666666667;6.1340263E7;398951.0
Radiohead;Just;291.0;767.0;3.9133333333333336;1.5041854E7;146328.0
Radiohead;Nude;516.0;342.0;4.25645;1.2205514E7;124486.0
AC/DC;Highway to Hell;574.0;913.0;3.473333333333333;2.74830901E8;2039258.0
AC/DC;Thunderstruck;502.0;0.89;4.881333333333333;1.22422606E9;5989128.0
AC/DC;Back In Black;0.31;0.7;4.258216666666667;9.15158054E8;5643694.0
AC/DC;You Shook Me All Night Long;532.0;767.0;3.502883333333333;2.79117834E8;1348845.0
AC/DC;T.N.T.;754.0;759.0;3.5777833333333335;2.40908491E8;934797.0
AC/DC;Hells Bells;389.0;873.0;5.204883333333333;2.52038354E8;1067479.0
AC/DC;Dirty Deeds Done Dirt Cheap;668.0;906.0;3.86555;852728.0;14044.0
AC/DC;Shoot to Thrill;457.0;904.0;5.29045;1.72293392E8;642344.0
AC/DC;It's a Long Way to the Top (If You Wanna Rock 'N' Roll);456.0;863.0;5.02045;102527.0;1881.0
AC/DC;Rock N Roll Train;547.0;931.0;4.35845;1.8237531E7;119749.0
Black Eyed Peas;I Gotta Feeling;744.0;766.0;4.818883333333333;6.38267058E8;3670416.0
Black Eyed Peas;DON'T YOU WORRY;831.0;868.0;3.2406333333333333;1.44690551E8;1327396.0
Black Eyed Peas;Where Is The Love?;834.0;699.0;4.542216666666667;8.88076529E8;4899065.0
Black Eyed Peas;Just Can�t Get Enough;659.0;628.0;3.6571166666666666;2.92211575E8;1594576.0
Black Eyed Peas;GIRL LIKE ME;965.0;485.0;3.7087166666666667;6.62529115E8;5488829.0
Black Eyed Peas;Pump It;649.0;931.0;3.5511166666666667;7.55836314E8;4746197.0
Black Eyed Peas;Pump It Louder;0.66;942.0;2.64285;2099141.0;61252.0
Black Eyed Peas;Meet Me Halfway;798.0;629.0;4.73955;4.58724349E8;2094991.0
Black Eyed Peas;RITMO (Bad Boys For Life);732.0;716.0;3.5809166666666665;1.021503328E9;6398855.0
Black Eyed Peas;SIMPLY THE BEST;872.0;789.0;3.9365;4.3226385E7;242932.0
Michael Jackson;Billie Jean;932.0;457.0;4.903783333333333;1.300732161E9;9523245.0
Michael Jackson;Chicago;608.0;756.0;4.091783333333334;545655.0;7314.0
Michael Jackson;Beat It;776.0;711.0;4.306666666666667;9.05692299E8;6656468.0
Michael Jackson;Smooth Criminal - 2012 Remaster;853.0;981.0;4296.0;8.4652754E7;672624.0
Michael Jackson;Rock with You - Single Version;808.0;535.0;3.6771166666666666;3.01845823E8;2269865.0
