Linkin Park;Crawling;0.58;0.702;0.0;0.0;3.74506976E8
Linkin Park;BURN IT DOWN;0.585;0.972;383.755;0.0;3.53136E8
Radiohead;Creep;0.515;0.43;0.0;0.0;7.6349786E8
Radiohead;No Surprises;0.255;0.393;0.0;0.0;1.6784728E8
Radiohead;Karma Police;0.36;0.501;0.0;0.0;8.9246408E7
Radiohead;High and Dry;0.419;0.383;0.0;0.0;80290.0
Radiohead;Exit Music (For A Film);0.293;0.276;0.0;0.0;1.0644157E7
Radiohead;Weird Fishes/ Arpeggi;0.531;0.61;0.0;0.0;1.5335499E7
Radiohead;Jigsaw Falling Into Place;0.462;0.832;0.0;0.0;2.639873E7
Radiohead;Fake Plastic Trees;0.463;0.229;0.0;0.0;6.1340264E7
Radiohead;Just;0.291;0.767;0.0;0.0;1.5041854E7
Radiohead;Nude;0.516;0.342;425.645;0.0;1.2205514E7
AC/DC;Highway to Hell;0.574;0.913;0.0;0.0;2.74830912E8
AC/DC;Thunderstruck;0.502;0.89;0.0;0.0;1.22422605E9
AC/DC;Back In Black;0.31;0.7;0.0;0.0;9.1515808E8
AC/DC;You Shook Me All Night Long;0.532;0.767;0.0;0.0;2.79117824E8
AC/DC;T.N.T.;0.754;0.759;0.0;0.0;2.40908496E8
AC/DC;Hells Bells;0.389;0.873;0.0;0.0;2.52038352E8
AC/DC;Dirty Deeds Done Dirt Cheap;0.668;0.906;386.555;0.0;852728.0
AC/DC;Shoot to Thrill;0.457;0.904;529.045;0.0;1.72293392E8
AC/DC;It's a Long Way to the Top (If You Wanna Rock 'N' Roll);0.456;0.863;502.045;0.0;102527.0
AC/DC;Rock N Roll Train;0.547;0.931;435.845;0.0;1.8237532E7
Black Eyed Peas;I Gotta Feeling;0.744;0.766;0.0;0.0;6.3826707E8
Black Eyed Peas;DON'T YOU WORRY;0.831;0.868;0.0;0.0;1.44690544E8
Black Eyed Peas;Where Is The Love?;0.834;0.699;0.0;0.0;8.8807654E8
Black Eyed Peas;Just Can’t Get Enough;0.659;0.628;0.0;0.0;2.92211584E8
Black Eyed Peas;GIRL LIKE ME;0.965;0.485;0.0;0.0;6.6252909E8
Black Eyed Peas;Pump It;0.649;0.931;0.0;0.0;7.5583629E8
Black Eyed Peas;Pump It Louder;0.66;0.942;264.285;0.0;2099141.0
Black Eyed Peas;Meet Me Halfway;0.798;0.629;473.955;0.0;4.58724352E8
Black Eyed Peas;RITMO (Bad Boys For Life);0.732;0.716;0.0;0.0;1.02150336E9
Black Eyed Peas;SIMPLY THE BEST;0.872;0.789;39.365;0.0;4.3226384E7
Michael Jackson;Billie Jean;0.932;0.457;0.0;0.0;1.30073216E9
Michael Jackson;Chicago;0.608;0.756;0.0;0.0;545655.0
