Artist;Track;Album;Album_type;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_min;Title;Channel;Views;Likes;Comments;Licensed;official_video;Stream;EnergyLiveness;most_playedon
Red Hot Chili Peppers;Dark Necessities;The Getaway;album;0.7;742;-6777;716;722;199;0.11;197;91959;5.033.333.333.333.330;Red Hot Chili Peppers - Dark Necessities [Official Music Video];Red Hot Chili Peppers;440037964.0;2094182.0;56516.0;TRUE;TRUE;385677873.0;6.745.454.545.454.540;Youtube
50 Cent;In Da Club;Get Rich Or Die Tryin';album;902;0.72;-2776;347;0.26;0.0;749;805;90059;322.445;50 Cent - In Da Club (Official Music Video);50CentVEVO;1682616458.0;10481678.0;296745.0;TRUE;TRUE;1041736808.0;9.612.817.089.452.600;Youtube
50 Cent;Candy Shop;The Massacre;album;614;574;-7961;466;253;3.2e-05;0.38;755;125173;3.485.116.666.666.660;50 Cent - Candy Shop (Official Music Video) ft. Olivia;50CentVEVO;838974650.0;5014527.0;113251.0;TRUE;TRUE;701248893.0;15.105.263.157.894.700;Youtube
50 Cent;Just A Lil Bit;The Massacre;album;489;692;-6672;0.41;322;608;315;527;96946;39.617.833.333.333.300;50 Cent - Just A Lil Bit;50CentVEVO;476133463.0;2523312.0;42075.0;TRUE;TRUE;395155110.0;21.968.253.968.253.900;Youtube
50 Cent;P.I.M.P.;Get Rich Or Die Tryin';album;0.7;758;-3012;342;444;1.3e-05;401;889;78693;4.157.783.333.333.330;50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit;50CentVEVO;572659065.0;3334710.0;60552.0;TRUE;TRUE;541728561.0;1.890.274.314.214.460;Youtube
50 Cent;Many Men (Wish Death);Get Rich Or Die Tryin';album;653;826;-2.93;354;153;146;131;416;108.52;427.045;50 Cent - Many Men (Wish Death) (Dirty Version);50CentVEVO;441155628.0;2765887.0;84117.0;TRUE;TRUE;332175400.0;6.305.343.511.450.380;Youtube
50 Cent;Disco Inferno;The Massacre;album;925;659;-4763;231;206;7.88e-05;279;0.71;97018;357.045;50 Cent - Disco Inferno (Official Music Video);50CentVEVO;39825951.0;382791.0;12038.0;TRUE;TRUE;202477187.0;23.620.071.684.587.800;Spotify
50 Cent;21 Questions;Get Rich Or Die Tryin';album;576;807;-3908;317;353;363;512;908;90012;374.045;50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg;50CentVEVO;503248572.0;2759199.0;54805.0;TRUE;TRUE;446003044.0;1.576.171.875;Youtube
50 Cent;Is This Love ('09) (feat. 50 Cent);Curtain Call 2;album;853;776;-4221;261;714;0.0;181;659;94028;353.355;Eminem, 50 Cent - Is This Love ('09) [Visualizer];EminemVEVO;5289821.0;245935.0;9008.0;TRUE;TRUE;28529840.0;4.287.292.817.679.550;Spotify
50 Cent;If I Can't;Get Rich Or Die Tryin';album;892;631;-2522;302;244;0.0;235;838;93975;32.773.333.333.333.300;50 Cent - If I Can't (Official Music Video);Wu Sound;46096.0;612.0;14.0;FALSE;FALSE;210473579.0;26.851.063.829.787.200;Spotify
50 Cent;Best Friend - Remix;Best Friend (Remix);single;545;0.64;-3529;308;368;0.0;111;574;181733;424.155;50 Cent-Best Friend(Remix);Lightning;291023.0;5729.0;46.0;FALSE;FALSE;160037992.0;57.657.657.657.657.600;Spotify
Metallica;Enter Sandman (Remastered);Metallica (Remastered);album;566;834;-8412;298;277;8;625;621;123296;5526;Metallica: Enter Sandman (Official Music Video);Metallica;573553706.0;2828795.0;81335.0;TRUE;TRUE;0.0;13344;Youtube
Metallica;Nothing Else Matters (Remastered);Metallica (Remastered);album;547;394;-9793;262;522;6.4e-06;795;0.17;142.37;6.478.883.333.333.330;Metallica: Nothing Else Matters (Official Music Video);Metallica;1209806093.0;5127599.0;135946.0;TRUE;TRUE;0.0;4.955.974.842.767.290;Youtube
Metallica;Master of Puppets (Remastered);Master of Puppets (Remastered Deluxe Box Set);album;539;828;-9108;35;67;421;154;562;105.25;8.589.783.333.333.330;Master of Puppets (Remastered);Metallica - Topic;20762910.0;293409.0;1703.0;TRUE;TRUE;0.0;5.376.623.376.623.370;Youtube
Metallica;Whiskey In The Jar;Garage, Inc.;album;511;972;-3751;413;5.36e-06;101;0.19;532;132.97;508.155;Metallica - Whiskey In The Jar (Official Music Video);Warner Records Vault;107553434.0;429797.0;12074.0;FALSE;FALSE;327681785.0;511.578.947.368.421;Spotify
Metallica;The Unforgiven (Remastered);Metallica (Remastered);album;531;583;-9.47;256;184;624;255;207;139503;64.526.666.666.666.600;Metallica - The Unforgiven (Official Music Video);Warner Records Vault;426125708.0;1781690.0;46392.0;FALSE;FALSE;0.0;22.862.745.098.039.200;Youtube
Metallica;One (Remastered);...And Justice for All (Remastered Deluxe Box Set);album;438;687;-9.15;619;668;801;0.42;426;103.01;7.435.766.666.666.660;Metallica - One (Official Music Video) [Remastered in HD];No Music, No Life !;524.0;18.0;1.0;FALSE;FALSE;0.0;1.635.714.285.714.280;Youtube
Metallica;For Whom The Bell Tolls (Remastered);Ride The Lightning (Deluxe Remaster);album;512;0.86;-6145;703;631;528;652;258;117909;5.166.216.666.666.660;For Whom The Bell Tolls (Remastered);Metallica - Topic;23666398.0;274106.0;667.0;TRUE;TRUE;0.0;13.190.184.049.079.700;Youtube
Metallica;Lux �terna;Lux �terna;single;386;996;-2.96;754;1.15e-05;836;116;188;130573;3428;Metallica: Lux �terna (Official Music Video);Metallica;14937918.0;473751.0;46230.0;TRUE;TRUE;20061385.0;8.586.206.896.551.720;Spotify
Metallica;Sad But True (Remastered);Metallica (Remastered);album;624;876;-6005;342;926;164;561;453;89.24;5.41;Metallica: Sad But True (Official Music Video);Metallica;72737062.0;418124.0;15110.0;TRUE;TRUE;0.0;15.614.973.262.032.000;Youtube
Metallica;Screaming Suicide;Screaming Suicide;single;425;972;-3448;45;2.42e-05;202;239;282;101125;550.755;Metallica: Screaming Suicide (Official Music Video);Metallica;4317758.0;217109.0;17225.0;TRUE;TRUE;3905429.0;4.066.945.606.694.560;Youtube
Coldplay;Yellow;Parachutes;album;429;661;-7227;281;239;121;234;285;173372;44.462.166.666.666.600;Coldplay - Yellow (Official Video);Coldplay;832532409.0;4600933.0;118296.0;TRUE;TRUE;1483622308.0;2.824.786.324.786.320;Spotify
Coldplay;Viva La Vida;Viva La Vida or Death and All His Friends;album;486;617;-7115;287;954;3.23e-06;109;417;138015;403.955;Coldplay - Viva La Vida (Official Video);Coldplay;789581468.0;4370461.0;261790.0;TRUE;TRUE;1325575712.0;5.660.550.458.715.590;Spotify
Coldplay;Sparks;Parachutes;album;371;268;-10506;281;748;517;104;165;102617;3.784.883.333.333.330;Sparks;Coldplay - Topic;73201019.0;787343.0;1637.0;TRUE;TRUE;475353044.0;2.576.923.076.923.070;Spotify
Coldplay;Something Just Like This;Memories...Do Not Open;album;617;635;-6769;317;498;1.44e-05;164;446;103019;41.193.333.333.333.300;The Chainsmokers & Coldplay - Something Just Like This (Lyric);ChainsmokersVEVO;2118018686.0;10282499.0;270444.0;TRUE;TRUE;2030825694.0;38.719.512.195.121.900;Youtube
Coldplay;The Scientist;A Rush of Blood to the Head;album;557;442;-7224;243;731;1.46e-05;0.11;213;146277;5.16;Coldplay - The Scientist (Official 4K Video);Coldplay;1082588109.0;5532787.0;124357.0;TRUE;TRUE;1465980600.0;40.181.818.181.818.100;Spotify
Coldplay;A Sky Full of Stars;Ghost Stories;album;545;675;-6474;279;617;197;209;162;124.97;446.445;Coldplay - A Sky Full Of Stars (Official Video);Coldplay;786404613.0;3741300.0;79974.0;TRUE;TRUE;1021782403.0;32.296.650.717.703.300;Spotify
Coldplay;Paradise;Mylo Xyloto;album;449;585;-6761;268;509;8.75e-05;833;212;139631;4.645.316.666.666.660;Coldplay - Paradise (Official Video);Coldplay;1665814269.0;8497224.0;343020.0;TRUE;TRUE;927288329.0;7.022.809.123.649.450;Youtube
Coldplay;Hymn for the Weekend;A Head Full of Dreams;album;491;693;-6487;377;211;6.92e-06;325;412;90027;430.445;Coldplay - Hymn For The Weekend (Official Video);Coldplay;1828242112.0;13515772.0;377666.0;TRUE;TRUE;1049654852.0;2.132.307.692.307.690;Youtube
Coldplay;My Universe;Music Of The Spheres;album;573;711;-6268;406;114;0.0;328;0.47;105006;37.699.666.666.666.600;Coldplay X BTS - My Universe (Official Video);Coldplay;254655970.0;8867547.0;432726.0;TRUE;TRUE;883224238.0;2.167.682.926.829.260;Spotify
Coldplay;Fix You;X&Y;album;209;417;-8.74;338;164;196;113;124;138178;492.555;Coldplay - Fix You (Official Video);Coldplay;566239229.0;2962029.0;114460.0;TRUE;TRUE;1115171056.0;36.902.654.867.256.600;Spotify
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit];single;794;811;-8966;38;426;1.07e-06;101;862;116047;4.140.216.666.666.660;Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers;convar HUN;32310867.0;956073.0;19646.0;FALSE;FALSE;844698895.0;8.029.702.970.297.020;Spotify
Daft Punk;One More Time;Discovery;album;613;697;-8618;133;194;0.0;332;476;122746;5.339.283.333.333.330;Daft Punk - One More Time (Official Video);Daft Punk;432177586.0;2707992.0;110189.0;TRUE;TRUE;471747761.0;20.993.975.903.614.400;Spotify
Daft Punk;Instant Crush (feat. Julian Casablancas);Random Access Memories;album;775;585;-9516;271;422;619;77;518;109942;5626;Daft Punk - Instant Crush (Video) ft. Julian Casablancas;DaftPunkVEVO;606828966.0;3111505.0;87115.0;TRUE;TRUE;460589724.0;7.597.402.597.402.590;Youtube
