Artist;Track;Album;Album_type;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_min;Title;Channel;Views;Likes;Comments;Licensed;official_video;Stream;EnergyLiveness;most_playedon;;;
50 Cent;In Da Club;Get Rich Or Die Tryin';album;902;0.72;-2776;347;0.26;0.0;0.0749;805;90059;3.22445;50 Cent - In Da Club (Official Music Video);50CentVEVO;1682616458.0;10481678.0;296745.0;True;True;1041736808.0;9.612817089452603;Youtube;;;
50 Cent;Candy Shop;The Massacre;album;614;574;-7961;466;0.0253;3.2e-05;0.38;755;125173;3.485116666666667;50 Cent - Candy Shop (Official Music Video) ft. Olivia;50CentVEVO;838974650.0;5014527.0;113251.0;True;True;701248893.0;1.5105263157894735;Youtube;;;
50 Cent;Just A Lil Bit;The Massacre;album;489;692;-6672;0.41;0.0322;0.00608;315;527;96946;3.9617833333333334;50 Cent - Just A Lil Bit;50CentVEVO;476133463.0;2523312.0;42075.0;True;True;395155110.0;2.1968253968253966;Youtube;;;
50 Cent;P.I.M.P.;Get Rich Or Die Tryin';album;0.7;758;-3012;342;0.0444;1.3e-05;0.0401;889;78693;4.157783333333334;50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit;50CentVEVO;572659065.0;3334710.0;60552.0;True;True;541728561.0;18.90274314214464;Youtube;;;
50 Cent;Many Men (Wish Death);Get Rich Or Die Tryin';album;653;826;-2.93;354;0.0153;0.00146;131;416;108.52;4.27045;50 Cent - Many Men (Wish Death) (Dirty Version);50CentVEVO;441155628.0;2765887.0;84117.0;True;True;332175400.0;6.305343511450381;Youtube;;;
50 Cent;Disco Inferno;The Massacre;album;925;659;-4763;231;206;7.88e-05;279;0.71;97018;3.57045;50 Cent - Disco Inferno (Official Music Video);50CentVEVO;39825951.0;382791.0;12038.0;True;True;202477187.0;2.3620071684587813;Spotify;;;
50 Cent;21 Questions;Get Rich Or Die Tryin';album;576;807;-3908;317;353;0.000363;0.0512;908;90012;3.74045;50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg;50CentVEVO;503248572.0;2759199.0;54805.0;True;True;446003044.0;15.76171875;Youtube;;;
50 Cent;Is This Love ('09) (feat. 50 Cent);Curtain Call 2;album;853;776;-4221;261;0.0714;0.0;181;659;94028;3.53355;Eminem, 50 Cent - Is This Love ('09) [Visualizer];EminemVEVO;5289821.0;245935.0;9008.0;True;True;28529840.0;4.287292817679559;Spotify;;;
50 Cent;If I Can't;Get Rich Or Die Tryin';album;892;631;-2522;302;244;0.0;0.0235;838;93975;3.2773333333333334;50 Cent - If I Can't (Official Music Video);Wu Sound;46096.0;612.0;14.0;False;False;210473579.0;26.851063829787233;Spotify;;;
50 Cent;Best Friend - Remix;Best Friend (Remix);single;545;0.64;-3529;308;368;0.0;111;574;181733;4.24155;50 Cent-Best Friend(Remix);Lightning;291023.0;5729.0;46.0;False;False;160037992.0;5.7657657657657655;Spotify;;;
Metallica;Enter Sandman (Remastered);Metallica (Remastered);album;566;834;-8412;0.0298;0.00277;8;0.0625;621;123296;5526;Metallica: Enter Sandman (Official Music Video);Metallica;573553706.0;2828795.0;81335.0;True;True;0.0;13344;Youtube;;;
Metallica;Nothing Else Matters (Remastered);Metallica (Remastered);album;547;394;-9793;0.0262;0.0522;6.4e-06;0.0795;0.17;142.37;6.478883333333333;Metallica: Nothing Else Matters (Official Music Video);Metallica;1209806093.0;5127599.0;135946.0;True;True;0.0;4.955974842767295;Youtube;;;
Metallica;Master of Puppets (Remastered);Master of Puppets (Remastered Deluxe Box Set);album;539;828;-9108;35;0.00067;421;154;562;105.25;8.589783333333333;Master of Puppets (Remastered);Metallica - Topic;20762910.0;293409.0;1703.0;True;True;0.0;5.376623376623376;Youtube;;;
Metallica;Whiskey In The Jar;Garage, Inc.;album;511;972;-3751;0.0413;5.36e-06;0.00101;0.19;532;132.97;5.08155;Metallica - Whiskey In The Jar (Official Music Video);Warner Records Vault;107553434.0;429797.0;12074.0;False;False;327681785.0;5.11578947368421;Spotify;;;
Metallica;The Unforgiven (Remastered);Metallica (Remastered);album;531;583;-9.47;0.0256;0.0184;0.00624;255;207;139503;6.4526666666666666;Metallica - The Unforgiven (Official Music Video);Warner Records Vault;426125708.0;1781690.0;46392.0;False;False;0.0;2.2862745098039214;Youtube;;;
Metallica;One (Remastered);...And Justice for All (Remastered Deluxe Box Set);album;438;687;-9.15;0.0619;0.000668;0.0801;0.42;426;103.01;7.435766666666667;Metallica - One (Official Music Video) [Remastered in HD];No Music, No Life !;524.0;18.0;1.0;False;False;0.0;1.635714285714286;Youtube;;;
Metallica;For Whom The Bell Tolls (Remastered);Ride The Lightning (Deluxe Remaster);album;512;0.86;-6145;0.0703;0.00631;0.00528;0.0652;258;117909;5.166216666666666;For Whom The Bell Tolls (Remastered);Metallica - Topic;23666398.0;274106.0;667.0;True;True;0.0;13.190184049079756;Youtube;;;
Metallica;Lux �terna;Lux �terna;single;386;996;-2.96;0.0754;1.15e-05;0.000836;116;188;130573;3428;Metallica: Lux �terna (Official Music Video);Metallica;14937918.0;473751.0;46230.0;True;True;20061385.0;8.586206896551724;Spotify;;;
Metallica;Sad But True (Remastered);Metallica (Remastered);album;624;876;-6005;0.0342;0.000926;0.00164;0.0561;453;89.24;5.41;Metallica: Sad But True (Official Music Video);Metallica;72737062.0;418124.0;15110.0;True;True;0.0;15.614973262032086;Youtube;;;
Metallica;Screaming Suicide;Screaming Suicide;single;425;972;-3448;45;2.42e-05;0.0202;239;282;101125;5.50755;Metallica: Screaming Suicide (Official Music Video);Metallica;4317758.0;217109.0;17225.0;True;True;3905429.0;4.066945606694561;Youtube;;;
Coldplay;Yellow;Parachutes;album;429;661;-7227;0.0281;0.00239;0.000121;234;285;173372;4.4462166666666665;Coldplay - Yellow (Official Video);Coldplay;832532409.0;4600933.0;118296.0;True;True;1483622308.0;2.824786324786325;Spotify;;;
Coldplay;Viva La Vida;Viva La Vida or Death and All His Friends;album;486;617;-7115;0.0287;0.0954;3.23e-06;109;417;138015;4.03955;Coldplay - Viva La Vida (Official Video);Coldplay;789581468.0;4370461.0;261790.0;True;True;1325575712.0;5.660550458715596;Spotify;;;
Coldplay;Sparks;Parachutes;album;371;268;-10506;0.0281;748;0.0517;104;165;102617;3.784883333333333;Sparks;Coldplay - Topic;73201019.0;787343.0;1637.0;True;True;475353044.0;2.576923076923077;Spotify;;;
Coldplay;Something Just Like This;Memories...Do Not Open;album;617;635;-6769;0.0317;0.0498;1.44e-05;164;446;103019;4.1193333333333335;The Chainsmokers & Coldplay - Something Just Like This (Lyric);ChainsmokersVEVO;2118018686.0;10282499.0;270444.0;True;True;2030825694.0;3.8719512195121952;Youtube;;;
Coldplay;The Scientist;A Rush of Blood to the Head;album;557;442;-7224;0.0243;731;1.46e-05;0.11;213;146277;5.16;Coldplay - The Scientist (Official 4K Video);Coldplay;1082588109.0;5532787.0;124357.0;True;True;1465980600.0;4.0181818181818185;Spotify;;;
Coldplay;A Sky Full of Stars;Ghost Stories;album;545;675;-6474;0.0279;0.00617;0.00197;209;162;124.97;4.46445;Coldplay - A Sky Full Of Stars (Official Video);Coldplay;786404613.0;3741300.0;79974.0;True;True;1021782403.0;3.2296650717703352;Spotify;;;
Coldplay;Paradise;Mylo Xyloto;album;449;585;-6761;0.0268;0.0509;8.75e-05;0.0833;212;139631;4.645316666666667;Coldplay - Paradise (Official Video);Coldplay;1665814269.0;8497224.0;343020.0;True;True;927288329.0;7.022809123649459;Youtube;;;
Coldplay;Hymn for the Weekend;A Head Full of Dreams;album;491;693;-6487;0.0377;211;6.92e-06;325;412;90027;4.30445;Coldplay - Hymn For The Weekend (Official Video);Coldplay;1828242112.0;13515772.0;377666.0;True;True;1049654852.0;2.132307692307692;Youtube;;;
Coldplay;My Universe;Music Of The Spheres;album;573;711;-6268;0.0406;0.0114;0.0;328;0.47;105006;3.7699666666666665;Coldplay X BTS - My Universe (Official Video);Coldplay;254655970.0;8867547.0;432726.0;True;True;883224238.0;2.167682926829268;Spotify;;;
Coldplay;Fix You;X&Y;album;209;417;-8.74;0.0338;164;0.00196;113;124;138178;4.92555;Coldplay - Fix You (Official Video);Coldplay;566239229.0;2962029.0;114460.0;True;True;1115171056.0;3.6902654867256635;Spotify;;;
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit];single;794;811;-8966;38;0.0426;1.07e-06;101;862;116047;4.140216666666666;Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers;convar HUN;32310867.0;956073.0;19646.0;False;False;844698895.0;8.029702970297029;Spotify;;;
